sample_id,collision_interp,collision_refined,goal_dist_interp,goal_dist_refined,success_interp,success_refined
0,0.96875,0.0,0.0,0.0,1.0,1.0
1,0.9375,0.96875,0.0,0.0,1.0,1.0
2,0.96875,0.0625,0.0,0.0,1.0,1.0
3,0.96875,0.0,0.0,0.0,1.0,1.0
4,0.96875,0.0,0.0,0.0,1.0,1.0
5,0.96875,0.0,0.0,0.0,1.0,1.0
6,0.96875,0.875,0.0,0.0,1.0,1.0
7,0.96875,0.0,0.0,0.0,1.0,1.0
8,0.96875,0.015625,0.0,0.0,1.0,1.0
9,0.96875,0.046875,0.0,0.0,1.0,1.0
10,0.96875,0.015625,0.0,0.0,1.0,1.0
11,0.96875,0.0,0.0,0.0,1.0,1.0
12,0.96875,0.125,0.0,0.0,1.0,1.0
13,0.90625,0.296875,0.0,0.0,1.0,1.0
14,0.921875,0.359375,0.0,0.0,1.0,1.0
15,0.96875,0.125,0.0,0.0,1.0,1.0
